name,rating,user_ratings_total,types,address,latitude,longitude
자티고개,3.8,21.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 유성구 덕명동 산 27,36.3315394,127.268247
무궁화학습원,4.3,136.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",충남 계룡시 신도안면 용동리 99-1,36.3247222,127.2447222
성북동산림욕장,4.0,20.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 성북동 산 72-3,36.3153522,127.2775277
동월계곡,4.1,55.0,"['tourist_attraction', 'point_of_interest', 'establishment']",충남 공주시 반포면 학봉리 794-57,36.3503263,127.2557262
계룡산국립공원 수통골지구,4.5,3153.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 유성구 계산동 산 40,36.3451969,127.2888026
로봇공원,3.6,154.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 유성구 구암동 668,36.3593285,127.3071359
두루봉근린공원,4.2,28.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 지족동 881-1,36.3778471,127.3226738
선사공원,4.3,10.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 지족동 881-1,36.3779631,127.3226913
반석어린이공원,4.1,21.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 반석동 655,36.3896282,127.3146917
대전선사박물관,4.2,160.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 노은동 523,36.37171379999999,127.3238858
은구비공원,4.7,615.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 지족동 920,36.3740469,127.3241357
벽화마을 (새마을동네),3.6,39.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 구암동 424-43,36.36034800000001,127.3202317
신성근린공원,4.6,5.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 신성동 206,36.387377,127.3477792
대전 성북동 석조보살입상,4.3,12.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 성북동 산 12-1,36.3143036,127.2937513
